provider_id,full_name,registration_number,mci_number,license_id,specialization,phone,email,clinic_name,address,city,state,zipcode,license_valid_from,license_valid_to,verification_status,data_quality_score
65,Dr. Provider 65,WBMC/86896,DLMC/67208,LIC6751256,Orthopedic Surgeon,+918554064862,provider65@hospital.com,Clinic 65,31 Health Street,Bengaluru,WB,404593,2010-01-01,2025-12-31,Pending,93
66,Dr. Provider 66,KLMC/95156,RJMC/13183,LIC0023546,Gynecologist,+918864220562,provider66@hospital.com,Clinic 66,174 Health Street,Kolkata,RJ,503529,2018-01-01,2029-12-31,Verified,81
67,Dr. Provider 67,GJMC/45762,GJMC/80995,LIC8334729,Psychiatrist,+916304940320,provider67@hospital.com,Clinic 67,45 Health Street,Kochi,UP,511756,2010-01-01,2027-12-31,Expired,90
68,Dr. Provider 68,UPMC/10156,UPMC/43194,LIC2088886,Pediatrician,+919086203646,provider68@hospital.com,Clinic 68,160 Health Street,Chennai,WB,530006,2013-01-01,2030-12-31,Verified,85
69,Dr. Provider 69,RJMC/51848,DLMC/70859,LIC5617857,Cardiologist,+918788910357,provider69@hospital.com,Clinic 69,181 Health Street,Chennai,UP,595887,2019-01-01,2030-12-31,Pending,63
70,Dr. Provider 70,MHMC/65547,DLMC/56298,LIC5158975,Psychiatrist,+916812616832,provider70@hospital.com,Clinic 70,17 Health Street,Chennai,KL,458542,2017-01-01,2026-12-31,Verified,51
71,Dr. Provider 71,APMC/39836,KAMC/98963,LIC9836757,Gynecologist,+919204853123,provider71@hospital.com,Clinic 71,30 Health Street,Bengaluru,WB,410516,2010-01-01,2030-12-31,Expired,42
72,Dr. Provider 72,KLMC/77138,KAMC/43663,LIC2961558,Gynecologist,+919315044611,provider72@hospital.com,Clinic 72,63 Health Street,Kolkata,KA,513491,2021-01-01,2026-12-31,Expired,55
73,Dr. Provider 73,MHMC/32373,UPMC/68906,LIC0550936,Orthopedic Surgeon,+916244590162,provider73@hospital.com,Clinic 73,150 Health Street,Delhi,WB,562904,2020-01-01,2025-12-31,Verified,80
74,Dr. Provider 74,UPMC/61187,TNMC/02474,LIC2185410,Dermatologist,+919750342211,provider74@hospital.com,Clinic 74,110 Health Street,Kolkata,DL,442024,2014-01-01,2027-12-31,Expired,94
75,Dr. Provider 75,GJMC/15981,GJMC/57335,LIC0651929,Neurologist,+917036213343,provider75@hospital.com,Clinic 75,137 Health Street,Chennai,UP,453601,2022-01-01,2026-12-31,Verified,81
76,Dr. Provider 76,MHMC/65316,UPMC/77091,LIC4604718,General Physician,+917038732805,provider76@hospital.com,Clinic 76,124 Health Street,Kochi,GJ,584592,2021-01-01,2028-12-31,Verified,89
77,Dr. Provider 77,APMC/23297,MHMC/24166,LIC6448462,Orthopedic Surgeon,+919169009693,provider77@hospital.com,Clinic 77,176 Health Street,Delhi,UP,407243,2021-01-01,2029-12-31,Expired,85
78,Dr. Provider 78,KLMC/12249,WBMC/21718,LIC3395892,Dermatologist,+916068947291,provider78@hospital.com,Clinic 78,161 Health Street,Ahmedabad,DL,659133,2018-01-01,2027-12-31,Verified,84
79,Dr. Provider 79,APMC/49577,TNMC/08900,LIC0411272,Gynecologist,+917951771404,provider79@hospital.com,Clinic 79,195 Health Street,Delhi,KA,668579,2016-01-01,2026-12-31,Expired,75
80,Dr. Provider 80,UPMC/91179,RJMC/59844,LIC2588247,Neurologist,+918949874191,provider80@hospital.com,Clinic 80,70 Health Street,Kochi,WB,566371,2011-01-01,2025-12-31,Verified,89
81,Dr. Provider 81,KLMC/22144,KLMC/51616,LIC5569498,General Physician,+918741032137,provider81@hospital.com,Clinic 81,140 Health Street,Kolkata,KL,663206,2014-01-01,2030-12-31,Verified,89
82,Dr. Provider 82,MHMC/08963,WBMC/59001,LIC8459185,Pediatrician,+916509840134,provider82@hospital.com,Clinic 82,130 Health Street,Chennai,MH,616264,2021-01-01,2030-12-31,Pending,81
83,Dr. Provider 83,KAMC/64995,WBMC/71797,LIC7518456,Dermatologist,+918094128161,provider83@hospital.com,Clinic 83,71 Health Street,Lucknow,WB,567776,2015-01-01,2028-12-31,Expired,71
84,Dr. Provider 84,APMC/39956,GJMC/83233,LIC9032770,Cardiologist,+917890398620,provider84@hospital.com,Clinic 84,84 Health Street,Kochi,KA,663493,2013-01-01,2028-12-31,Expired,68
85,Dr. Provider 85,MHMC/67796,TNMC/56572,LIC2783275,Cardiologist,+917516717147,provider85@hospital.com,Clinic 85,40 Health Street,Bengaluru,KL,419419,2019-01-01,2030-12-31,Pending,85
86,Dr. Provider 86,RJMC/90533,UPMC/64140,LIC0977243,ENT Specialist,+916592838198,provider86@hospital.com,Clinic 86,133 Health Street,Kolkata,GJ,585548,2010-01-01,2026-12-31,Pending,92
87,Dr. Provider 87,GJMC/02935,TNMC/58196,LIC7550080,Cardiologist,+917116877302,provider87@hospital.com,Clinic 87,66 Health Street,Hyderabad,AP,651985,2013-01-01,2030-12-31,Verified,66
88,Dr. Provider 88,RJMC/69211,TNMC/86036,LIC2495890,Neurologist,+919963469707,provider88@hospital.com,Clinic 88,4 Health Street,Mumbai,DL,695945,2020-01-01,2028-12-31,Pending,63
89,Dr. Provider 89,KAMC/91686,RJMC/01983,LIC5505817,Gynecologist,+918365705367,provider89@hospital.com,Clinic 89,14 Health Street,Lucknow,KA,443535,2020-01-01,2028-12-31,Pending,47
90,Dr. Provider 90,RJMC/74300,TNMC/10849,LIC9804778,Cardiologist,+917148960263,provider90@hospital.com,Clinic 90,154 Health Street,Mumbai,KL,518044,2013-01-01,2026-12-31,Verified,41
91,Dr. Provider 91,RJMC/15723,RJMC/08517,LIC0387054,Pediatrician,+919947662324,provider91@hospital.com,Clinic 91,163 Health Street,Delhi,MH,489452,2019-01-01,2027-12-31,Pending,68
92,Dr. Provider 92,WBMC/60701,KLMC/10173,LIC8863567,Neurologist,+917271321473,provider92@hospital.com,Clinic 92,73 Health Street,Chennai,GJ,583860,2016-01-01,2030-12-31,Expired,99
93,Dr. Provider 93,KAMC/55577,RJMC/20937,LIC5350699,Dermatologist,+919201802140,provider93@hospital.com,Clinic 93,177 Health Street,Lucknow,KA,495748,2020-01-01,2029-12-31,Expired,73
94,Dr. Provider 94,KAMC/84369,KLMC/65812,LIC5062509,Neurologist,+918590016012,provider94@hospital.com,Clinic 94,104 Health Street,Delhi,UP,441560,2021-01-01,2025-12-31,Pending,45
95,Dr. Provider 95,WBMC/25091,GJMC/36359,LIC2091757,Neurologist,+917611069995,provider95@hospital.com,Clinic 95,149 Health Street,Jaipur,KL,406020,2012-01-01,2025-12-31,Verified,49
96,Dr. Provider 96,RJMC/42105,WBMC/20494,LIC4912793,Gynecologist,+918477635475,provider96@hospital.com,Clinic 96,87 Health Street,Hyderabad,RJ,665193,2010-01-01,2028-12-31,Verified,94
97,Dr. Provider 97,TNMC/03869,DLMC/80107,LIC9221785,Pediatrician,+917908635626,provider97@hospital.com,Clinic 97,48 Health Street,Lucknow,DL,527630,2022-01-01,2027-12-31,Pending,48
98,Dr. Provider 98,RJMC/49158,KLMC/79422,LIC1137602,Neurologist,+918459384583,provider98@hospital.com,Clinic 98,35 Health Street,Bengaluru,AP,402323,2010-01-01,2025-12-31,Verified,89
99,Dr. Provider 99,DLMC/57196,UPMC/97011,LIC1365236,General Physician,+919720281176,provider99@hospital.com,Clinic 99,153 Health Street,Ahmedabad,AP,609170,2021-01-01,2029-12-31,Expired,82
100,Dr. Provider 100,GJMC/75084,UPMC/19155,LIC2616554,Gynecologist,+917183115177,provider100@hospital.com,Clinic 100,199 Health Street,Bengaluru,TN,452464,2015-01-01,2028-12-31,Expired,67
101,Dr. Provider 101,TNMC/97164,GJMC/05568,LIC3350211,General Physician,+918734866181,provider101@hospital.com,Clinic 101,26 Health Street,Hyderabad,DL,522854,2020-01-01,2026-12-31,Verified,92
102,Dr. Provider 102,UPMC/44269,APMC/94726,LIC8660756,General Physician,+916624234450,provider102@hospital.com,Clinic 102,30 Health Street,Chennai,AP,612889,2018-01-01,2027-12-31,Expired,61
103,Dr. Provider 103,RJMC/96640,RJMC/21189,LIC2985468,ENT Specialist,+917310763822,provider103@hospital.com,Clinic 103,35 Health Street,Kolkata,WB,505022,2010-01-01,2026-12-31,Pending,50
104,Dr. Provider 104,TNMC/68331,KAMC/16519,LIC2957732,ENT Specialist,+918852699488,provider104@hospital.com,Clinic 104,22 Health Street,Jaipur,KL,563230,2011-01-01,2028-12-31,Expired,43
105,Dr. Provider 105,KAMC/44049,APMC/52249,LIC8546764,Neurologist,+918792157368,provider105@hospital.com,Clinic 105,20 Health Street,Mumbai,AP,658607,2020-01-01,2028-12-31,Expired,93
106,Dr. Provider 106,DLMC/18328,APMC/58674,LIC4052754,Orthopedic Surgeon,+917549493055,provider106@hospital.com,Clinic 106,95 Health Street,Mumbai,RJ,592282,2016-01-01,2028-12-31,Expired,97
107,Dr. Provider 107,RJMC/76907,RJMC/66131,LIC2413606,ENT Specialist,+918266378243,provider107@hospital.com,Clinic 107,143 Health Street,Chennai,UP,681690,2011-01-01,2029-12-31,Expired,41
108,Dr. Provider 108,RJMC/20866,MHMC/12072,LIC2694094,General Physician,+919926234970,provider108@hospital.com,Clinic 108,68 Health Street,Ahmedabad,DL,551257,2020-01-01,2028-12-31,Pending,82
109,Dr. Provider 109,WBMC/76632,APMC/28975,LIC3350554,Pediatrician,+918066961689,provider109@hospital.com,Clinic 109,121 Health Street,Hyderabad,WB,582328,2015-01-01,2029-12-31,Expired,89
110,Dr. Provider 110,WBMC/44345,DLMC/40790,LIC5279369,Cardiologist,+917218606111,provider110@hospital.com,Clinic 110,137 Health Street,Bengaluru,GJ,459751,2020-01-01,2028-12-31,Expired,55
111,Dr. Provider 111,KAMC/53390,KLMC/31185,LIC4165506,Pediatrician,+918395376563,provider111@hospital.com,Clinic 111,22 Health Street,Jaipur,WB,413816,2015-01-01,2029-12-31,Verified,90
112,Dr. Provider 112,RJMC/98397,GJMC/29230,LIC1864241,ENT Specialist,+918874035725,provider112@hospital.com,Clinic 112,42 Health Street,Chennai,UP,569448,2013-01-01,2029-12-31,Verified,50
113,Dr. Provider 113,DLMC/62912,GJMC/32997,LIC8230355,Psychiatrist,+916408760804,provider113@hospital.com,Clinic 113,199 Health Street,Jaipur,KA,633134,2016-01-01,2027-12-31,Expired,41
114,Dr. Provider 114,GJMC/90226,MHMC/03566,LIC7454788,Dermatologist,+918332527883,provider114@hospital.com,Clinic 114,6 Health Street,Ahmedabad,KL,458637,2016-01-01,2025-12-31,Pending,58
115,Dr. Provider 115,WBMC/64415,WBMC/37283,LIC6083309,Dermatologist,+916176825671,provider115@hospital.com,Clinic 115,90 Health Street,Ahmedabad,GJ,578981,2019-01-01,2030-12-31,Pending,80
116,Dr. Provider 116,GJMC/70162,RJMC/55569,LIC5374644,Cardiologist,+919896917621,provider116@hospital.com,Clinic 116,43 Health Street,Mumbai,UP,696558,2010-01-01,2027-12-31,Verified,47
117,Dr. Provider 117,DLMC/44399,RJMC/90079,LIC1506581,ENT Specialist,+919046395003,provider117@hospital.com,Clinic 117,98 Health Street,Delhi,KA,541674,2021-01-01,2028-12-31,Verified,82
118,Dr. Provider 118,DLMC/33590,MHMC/23275,LIC0621384,Orthopedic Surgeon,+916321907782,provider118@hospital.com,Clinic 118,155 Health Street,Chennai,DL,564012,2018-01-01,2027-12-31,Pending,96
119,Dr. Provider 119,KLMC/93117,MHMC/90747,LIC2963906,Gynecologist,+919598011790,provider119@hospital.com,Clinic 119,18 Health Street,Kolkata,MH,679668,2010-01-01,2027-12-31,Expired,73
120,Dr. Provider 120,KLMC/15669,KAMC/95683,LIC3323677,Cardiologist,+917719959982,provider120@hospital.com,Clinic 120,70 Health Street,Kochi,WB,599162,2022-01-01,2026-12-31,Verified,80
121,Dr. Provider 121,GJMC/14425,WBMC/30896,LIC8219906,Dermatologist,+918298649952,provider121@hospital.com,Clinic 121,97 Health Street,Mumbai,KA,422885,2015-01-01,2026-12-31,Pending,74
122,Dr. Provider 122,DLMC/33110,UPMC/18642,LIC0826580,General Physician,+916473464184,provider122@hospital.com,Clinic 122,23 Health Street,Kochi,UP,430128,2020-01-01,2027-12-31,Expired,90
123,Dr. Provider 123,DLMC/47535,RJMC/80946,LIC2791051,Psychiatrist,+919715989552,provider123@hospital.com,Clinic 123,112 Health Street,Mumbai,RJ,491260,2017-01-01,2026-12-31,Pending,67
124,Dr. Provider 124,GJMC/94506,UPMC/38162,LIC4467643,General Physician,+916848520863,provider124@hospital.com,Clinic 124,40 Health Street,Lucknow,WB,571201,2018-01-01,2026-12-31,Verified,40
125,Dr. Provider 125,KLMC/60131,KLMC/79199,LIC0777779,Neurologist,+917947345847,provider125@hospital.com,Clinic 125,22 Health Street,Bengaluru,MH,482428,2010-01-01,2029-12-31,Expired,69
126,Dr. Provider 126,KLMC/55264,APMC/89426,LIC5431946,ENT Specialist,+919107919385,provider126@hospital.com,Clinic 126,49 Health Street,Hyderabad,AP,536728,2019-01-01,2027-12-31,Pending,45
127,Dr. Provider 127,APMC/47589,GJMC/07161,LIC5192642,Pediatrician,+917969541086,provider127@hospital.com,Clinic 127,36 Health Street,Chennai,AP,529679,2012-01-01,2025-12-31,Expired,78
128,Dr. Provider 128,TNMC/40227,MHMC/67176,LIC2569600,Neurologist,+917308420048,provider128@hospital.com,Clinic 128,194 Health Street,Bengaluru,UP,589849,2019-01-01,2030-12-31,Verified,65
129,Dr. Provider 129,KAMC/87997,GJMC/94399,LIC6930742,ENT Specialist,+919214769541,provider129@hospital.com,Clinic 129,16 Health Street,Kochi,KL,591828,2016-01-01,2030-12-31,Expired,54
130,Dr. Provider 130,KAMC/43060,UPMC/94325,LIC0234093,Orthopedic Surgeon,+918602709875,provider130@hospital.com,Clinic 130,165 Health Street,Jaipur,UP,506424,2014-01-01,2028-12-31,Expired,49
131,Dr. Provider 131,DLMC/84685,APMC/94916,LIC5065585,Pediatrician,+918369046895,provider131@hospital.com,Clinic 131,107 Health Street,Lucknow,KL,689060,2018-01-01,2029-12-31,Expired,47
132,Dr. Provider 132,RJMC/38543,UPMC/59596,LIC1307234,Orthopedic Surgeon,+918183497813,provider132@hospital.com,Clinic 132,84 Health Street,Jaipur,RJ,644774,2011-01-01,2028-12-31,Expired,85
